ratio,angle_index,design,n,runs,identifiable_runs,identifiable_rate,condition_median,condition_p90,hessian_relative_error_median,hessian_relative_error_p90,hessian_relative_error_max,magnitude_relative_error_median,magnitude_relative_error_p90,magnitude_relative_error_max,spectrum_l1_error_median,spectrum_l1_error_p90,spectrum_l1_error_max,log_condition_error_median,log_condition_error_p90,log_condition_error_max,pairwise_order_accuracy_median,pairwise_order_accuracy_p90,pairwise_order_accuracy_max,tie_fraction_median,tie_fraction_p90,tie_fraction_max
1,1,sobol,6,50,50,1.0,27.44130121532208,521.7718750592583,1.1060136703415495e-15,9.29531985997617e-15,4.0275238595618653e-13,6.2803698347351e-16,2.7005590289360933e-15,3.969193735552583e-13,8.881784197001252e-16,9.214851104388801e-15,6.838973831690964e-14,1.7763568394002489e-15,1.842970220877743e-14,1.3677947663380992e-13,1.0,1.0,1.0,0.0,0.0,0.0
1,1,sobol,8,50,50,1.0,11.620362056372372,18.668410388453896,6.448160459750857e-16,1.6272170907149783e-15,8.134094415115229e-15,3.14018491736755e-16,1.0990647210786425e-15,2.9831756714991722e-15,4.440892098500626e-16,1.265654248072679e-15,7.827072323607354e-15,8.881784197001248e-16,2.5313084961453546e-15,1.57651669496771e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,1,sobol,12,50,50,1.0,9.238600737200082,13.502549705206217,5.606295285212028e-16,1.1748129229420174e-15,7.652337001048001e-15,3.14018491736755e-16,8.007471539287255e-16,1.4130832128153975e-15,3.3306690738754696e-16,6.716849298982198e-16,7.66053886991358e-15,6.661338147750937e-16,1.3544720900426905e-15,1.5321077739827044e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,1,sobol,20,50,50,1.0,7.96138422431113,8.637700519853873,4.862452937479304e-16,8.353302682180397e-16,6.902274738594201e-15,3.14018491736755e-16,7.850462293418875e-16,1.4130832128153975e-15,2.7755575615628914e-16,6.16173778666962e-16,6.716849298982197e-15,6.661338147750937e-16,1.332267629550187e-15,1.3544720900426818e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,1,trajectory,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1,trajectory,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1,trajectory,6,50,48,0.96,192.30989863508307,2035.973162088085,3.7344149071023685e-15,3.14063595208259e-14,8.921925827414124e-14,1.7271017045521523e-15,1.752223183891093e-14,5.79364117254313e-14,2.831068712794149e-15,2.5096591471651665e-14,8.737455203799982e-14,5.6621374255882826e-15,5.0226489634040823e-14,1.7474910407598437e-13,1.0,1.0,1.0,0.0,0.0,0.0
1,1,trajectory,8,50,50,1.0,75.98205210259107,237.47322246686397,1.3458494751347205e-15,3.94777138458382e-15,1.4534768173359257e-14,7.850462293418875e-16,2.0568211208757456e-15,7.850462293418874e-15,1.1102230246251565e-15,3.563815909046753e-15,1.2212453270876722e-14,2.2204460492503107e-15,7.12763181809348e-15,2.4424906541753144e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,1,trajectory,12,50,50,1.0,53.002080481281325,118.81443193305834,8.390239688269696e-16,1.809781952101251e-15,6.614314666349671e-15,4.710277376051325e-16,1.0990647210786425e-15,2.198129442157285e-15,7.771561172376096e-16,1.5709655798445967e-15,6.494804694057166e-15,1.554312234475218e-15,3.1530333899354405e-15,1.3100631690576762e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,1,trajectory,20,50,50,1.0,46.517703887662165,93.77979788436737,8.223610997033104e-16,1.7943295511505795e-15,2.393033838344776e-15,3.14018491736755e-16,8.007471539287255e-16,1.0990647210786425e-15,5.273559366969494e-16,1.7208456881689926e-15,2.4424906541753444e-15,1.110223024625156e-15,3.5527136788004946e-15,4.884981308350677e-15,1.0,1.0,1.0,0.0,0.0,0.0
