ratio,angle,angle_index,design,n,seed,paired_seed,identifiable,abstain_reason,rank,condition_number,minimum_singular_value,maximum_singular_value,hessian_relative_error,magnitude_relative_error,spectrum_l1_error,log_condition_error,pairwise_order_accuracy,tie_fraction,estimated_magnitude,estimated_major_spectrum_share
1,0.0,0,sobol,6,17,100017,1,,6,30.83445779806891,0.08395133268572201,2.5885938247895384,1.1470812255482866e-15,9.42055475210265e-16,7.771561172376096e-16,1.554312234475218e-15,1.0,0.0,0.9999999999999991,0.5000000000000004
1,0.0,0,sobol,6,18,100018,1,,6,17.197792205871256,0.14804966267483155,2.5461273348310867,5.095246377785861e-16,3.14018491736755e-16,5.551115123125783e-16,1.110223024625156e-15,1.0,0.0,1.0000000000000002,0.5000000000000002
1,0.0,0,sobol,6,19,100019,1,,6,492.9785312262891,0.00526041290986314,2.59327062994814,1.976321724055963e-14,2.826166425630795e-15,1.9539925233402755e-14,3.9079850466804747e-14,1.0,0.0,1.0000000000000029,0.5000000000000098
1,0.0,0,sobol,6,20,100020,1,,6,15.320775528773037,0.1692194507646723,2.592573220267805,1.5463617361248924e-15,1.4130832128153975e-15,3.3306690738754696e-16,6.661338147750937e-16,1.0,0.0,1.0000000000000013,0.5000000000000002
1,0.0,0,sobol,6,21,100021,1,,6,32.22141884920779,0.07978880959715295,2.570908653509555,2.2887833992611187e-16,0.0,2.220446049250313e-16,4.440892098500625e-16,1.0,0.0,1.0,0.5000000000000001
1,0.0,0,sobol,6,22,100022,1,,6,32.597770935192344,0.07755412546568717,2.528091617009638,1.7253165860342592e-15,1.7271017045521525e-15,1.1102230246251565e-16,2.2204460492503128e-16,1.0,0.0,0.9999999999999982,0.5000000000000001
1,0.0,0,sobol,6,23,100023,1,,6,13.95062412340431,0.18579435589440885,2.5919472233329057,1.7055569729570692e-15,1.4130832128153975e-15,6.661338147750939e-16,1.332267629550187e-15,1.0,0.0,1.0000000000000013,0.5000000000000003
1,0.0,0,sobol,6,24,100024,1,,6,30.37700295826101,0.08374868994659916,2.544034202258327,1.7772239894833365e-15,1.570092458683775e-15,7.771561172376096e-16,1.554312234475218e-15,1.0,0.0,1.0000000000000016,0.5000000000000003
1,0.0,0,sobol,6,25,100025,1,,6,236.46777883111955,0.010699031350747224,2.529976179155709,1.6485970816179637e-15,6.2803698347351e-16,1.4988010832439613e-15,3.1086244689504336e-15,1.0,0.0,0.9999999999999993,0.5000000000000008
1,0.0,0,sobol,6,26,100026,1,,6,26.850795449148215,0.09549970301639356,2.5642429911475864,1.9020165108476274e-15,1.570092458683775e-16,2.0539125955565396e-15,4.218847493575586e-15,1.0,0.0,1.0000000000000002,0.500000000000001
1,0.0,0,sobol,6,27,100027,1,,6,13.71944244289213,0.18601312519850025,2.551996364783312,8.501773392231349e-16,9.42055475210265e-16,1.6653345369377348e-16,4.440892098500625e-16,1.0,0.0,0.9999999999999991,0.5000000000000001
1,0.0,0,sobol,6,28,100028,1,,6,47.45051536794385,0.05355858509390459,2.541382465083648,2.6691571797624175e-15,2.3551386880256623e-15,1.4988010832439613e-15,2.8865798640254027e-15,1.0,0.0,0.9999999999999977,0.5000000000000008
1,0.0,0,sobol,6,29,100029,1,,6,12.834151684459957,0.2028581265331831,2.6035119663522432,3.5571561302006606e-16,1.570092458683775e-16,4.996003610813204e-16,1.110223024625156e-15,1.0,0.0,0.9999999999999999,0.5000000000000002
1,0.0,0,sobol,6,30,100030,1,,6,78.0434895016589,0.033762770260822854,2.6349644063974496,8.158439733063109e-16,0.0,7.771561172376096e-16,1.554312234475218e-15,1.0,0.0,1.0,0.5000000000000004
1,0.0,0,sobol,6,31,100031,1,,6,71.24839502394066,0.03541157364988356,2.523017787826272,1.9222113823164485e-15,1.88411095042053e-15,3.3306690738754696e-16,6.661338147750937e-16,1.0,0.0,1.0000000000000018,0.5000000000000002
1,0.0,0,sobol,6,32,100032,1,,6,14.303590675595228,0.17782526840736687,2.5435398510768312,4.679511028695505e-16,1.570092458683775e-16,4.440892098500626e-16,8.881784197001248e-16,1.0,0.0,1.0000000000000002,0.5000000000000002
1,0.0,0,sobol,6,33,100033,1,,6,79.0151224637613,0.032506157737774814,2.568478034476619,4.910462595695867e-16,3.14018491736755e-16,5.551115123125783e-16,1.110223024625156e-15,1.0,0.0,1.0000000000000002,0.5000000000000002
1,0.0,0,sobol,6,34,100034,1,,6,24.774754337759727,0.10241310031556404,2.5372594012864425,1.2359621729263739e-15,1.570092458683775e-16,1.27675647831893e-15,2.4424906541753412e-15,1.0,0.0,0.9999999999999999,0.5000000000000007
1,0.0,0,sobol,6,35,100035,1,,6,44.54743037881887,0.05763645128968246,2.5675558011093145,2.7960212499651475e-15,2.6691571797624175e-15,3.3306690738754696e-16,6.661338147750937e-16,1.0,0.0,1.0000000000000027,0.5000000000000002
1,0.0,0,sobol,6,36,100036,1,,6,51.750906376958454,0.04949721776134324,2.5615258822871994,3.299062791418367e-15,2.3551386880256623e-15,2.3869795029440866e-15,4.6629367034256464e-15,1.0,0.0,0.9999999999999977,0.5000000000000012
1,0.0,0,sobol,6,37,100037,1,,6,43.58809732113881,0.058450921789866335,2.547764467486967,2.7155111067844756e-15,2.198129442157285e-15,1.2212453270876722e-15,2.4424906541753412e-15,1.0,0.0,1.0000000000000022,0.5000000000000007
1,0.0,0,sobol,6,38,100038,1,,6,66.36801907522039,0.038079191325291056,2.5272404962458834,5.768888059150692e-16,0.0,5.551115123125783e-16,1.110223024625156e-15,1.0,0.0,1.0,0.5000000000000003
1,0.0,0,sobol,6,39,100039,1,,6,55.40958405997999,0.04644532402219443,2.57351608560079,7.426885862005046e-16,3.14018491736755e-16,7.216449660063518e-16,1.554312234475218e-15,1.0,0.0,1.0000000000000002,0.5000000000000003
