relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.1,0.5,0.8,0.3,0.10047619047619048,0.43878357030015797,0.4680941102032577,50
0.1,0.5,0.8,0.5,0.14063492063492064,0.5849322799097065,0.6098641985349583,50
0.1,0.5,0.9,0.05,0.002341269841269841,0.03389830508474576,0.08774509803921565,23
0.1,0.5,0.9,0.1,0.016547619047619047,0.09352517985611511,0.1276069370567376,48
0.1,0.5,0.9,0.2,0.05988095238095238,0.25115970841616964,0.27934253765538564,50
0.1,0.5,0.9,0.3,0.09523809523809523,0.4483333333333333,0.47621514131109177,50
0.1,0.5,0.9,0.5,0.1334126984126984,0.5936942296252231,0.617035698610203,50
0.1,0.5,0.95,0.05,0.002261904761904762,0.03508771929824561,0.08888888888888889,23
0.1,0.5,0.95,0.1,0.01599206349206349,0.0967741935483871,0.13429731689630164,46
0.1,0.5,0.95,0.2,0.05682539682539683,0.2541899441340782,0.28284735418922874,50
0.1,0.5,0.95,0.3,0.09023809523809524,0.455584872471416,0.48426068143884327,50
0.1,0.5,0.95,0.5,0.12694444444444444,0.6020631447327289,0.6268959212231505,50
0.2,0.1,0.8,0.1,0.002341269841269841,0.06779661016949153,0.1694915254237288,22
0.2,0.1,0.8,0.2,0.008214285714285714,0.09178743961352658,0.14459077690070626,39
0.2,0.1,0.8,0.3,0.010515873015873017,0.20754716981132076,0.27420068512703394,41
0.2,0.1,0.8,0.5,0.01265873015873016,0.34169278996865204,0.42373442586148835,44
0.2,0.1,0.9,0.1,0.0023015873015873015,0.06896551724137931,0.16903795655287657,22
0.2,0.1,0.9,0.2,0.008095238095238095,0.09313725490196079,0.14189957002457002,39
0.2,0.1,0.9,0.3,0.010396825396825397,0.2099236641221374,0.27555730533683287,41
0.2,0.1,0.9,0.5,0.01253968253968254,0.3449367088607595,0.42765468227424747,44
0.2,0.1,0.95,0.1,0.0023015873015873015,0.06896551724137931,0.17394755003450652,22
0.2,0.1,0.95,0.2,0.008055555555555555,0.08866995073891626,0.13581707940682297,39
0.2,0.1,0.95,0.3,0.010317460317460317,0.20384615384615384,0.2686106674074588,41
0.2,0.1,0.95,0.5,0.01246031746031746,0.34076433121019106,0.4245348566777138,44
0.2,0.2,0.8,0.05,0.0013492063492063493,0.058823529411764705,0.14285714285714285,18
0.2,0.2,0.8,0.1,0.010317460317460317,0.1076923076923077,0.15880410553282095,41
0.2,0.2,0.8,0.2,0.034761904761904765,0.22146118721461186,0.25834359841643734,49
0.2,0.2,0.8,0.3,0.05261904761904762,0.389894419306184,0.42444607969704795,50
0.2,0.2,0.8,0.5,0.07047619047619047,0.5320945945945946,0.5675070993355573,50
0.2,0.2,0.9,0.05,0.0013492063492063493,0.058823529411764705,0.13793103448275862,18
0.2,0.2,0.9,0.1,0.01003968253968254,0.11067193675889328,0.1623931623931624,41
0.2,0.2,0.9,0.2,0.03388888888888889,0.2224824355971897,0.25918320609667667,49
0.2,0.2,0.9,0.3,0.05126984126984127,0.3908668730650155,0.4250032865907099,50
0.2,0.2,0.9,0.5,0.06865079365079366,0.5323699421965318,0.5665680541141521,50
0.2,0.2,0.95,0.05,0.0013492063492063493,0.058823529411764705,0.14824074074074065,18
0.2,0.2,0.95,0.1,0.009880952380952381,0.11244979919678715,0.16588253353032598,41
0.2,0.2,0.95,0.2,0.03297619047619048,0.2226233453670277,0.25785546982639845,49
0.2,0.2,0.95,0.3,0.049484126984126985,0.3913392141138733,0.4256868964731447,50
0.2,0.2,0.95,0.5,0.0667063492063492,0.5353955978584176,0.5686788408156147,50
0.2,0.3,0.8,0.05,0.002142857142857143,0.037037037037037035,0.09090909090909091,25
0.2,0.3,0.8,0.1,0.015952380952380954,0.08955223880597014,0.11898763143411638,47
0.2,0.3,0.8,0.2,0.05880952380952381,0.2483130904183536,0.27913119100374095,50
0.2,0.3,0.8,0.3,0.09059523809523809,0.42575558475689884,0.45290258192983374,50
0.2,0.3,0.8,0.5,0.1261904761904762,0.5729559748427673,0.5969603124755505,50
0.2,0.3,0.9,0.05,0.0019047619047619048,0.041666666666666664,0.10260831122900084,23
0.2,0.3,0.9,0.1,0.01507936507936508,0.09473684210526316,0.12896292512042037,47
0.2,0.3,0.9,0.2,0.05615079365079365,0.25229681978798585,0.28334654617558835,50
0.2,0.3,0.9,0.3,0.08678571428571429,0.43209876543209874,0.4587654708354428,50
0.2,0.3,0.9,0.5,0.1209920634920635,0.5788783207609052,0.6029867296170219,50
0.2,0.3,0.95,0.05,0.0019047619047619048,0.041666666666666664,0.1,23
0.2,0.3,0.95,0.1,0.014801587301587302,0.09651474530831099,0.13150718923144905,46
0.2,0.3,0.95,0.2,0.05412698412698413,0.2536656891495601,0.2849121557967883,50
0.2,0.3,0.95,0.3,0.08325396825396826,0.4351763584366063,0.46300776917420644,50
0.2,0.3,0.95,0.5,0.11642857142857142,0.5841854124062713,0.607233828339892,50
0.2,0.5,0.8,0.05,0.0032142857142857142,0.04938271604938271,0.10810810810810811,30
0.2,0.5,0.8,0.1,0.021111111111111112,0.10902255639097744,0.13831181767471512,50
0.2,0.5,0.8,0.2,0.07853174603174604,0.27791814047498736,0.3027769384997934,50
0.2,0.5,0.8,0.3,0.1276984126984127,0.4698570540708515,0.4918531409616121,50
0.2,0.5,0.8,0.5,0.1866269841269841,0.622793961301297,0.6402760063893808,50
0.2,0.5,0.9,0.05,0.0028968253968253968,0.0547945205479452,0.12,28
0.2,0.5,0.9,0.1,0.019126984126984128,0.11825726141078838,0.15084559433596992,50
0.2,0.5,0.9,0.2,0.07242063492063493,0.28712328767123285,0.3141942449131955,50
0.2,0.5,0.9,0.3,0.11900793650793651,0.486162054018006,0.5099525668843178,50
0.2,0.5,0.9,0.5,0.17285714285714285,0.6356749311294766,0.6559106936219453,50
