design,rho,beta_ratio,n,runs,projection_bias_median,finite_sample_error_median,total_center_error_median,total_center_error_p90
uniform,0.25,0.5,12,600,0.053571428571428506,0.010691254866393565,0.05256542459265775,0.06160196208508362
uniform,0.25,0.5,20,600,0.053571428571428506,0.0069079010293415285,0.05167482090864363,0.05887375782308863
uniform,0.5,0.0,8,600,7.487546418413058e-16,1.919683895995517e-15,1.6727034174669226e-15,5.075913108176637e-15
uniform,0.5,0.0,12,600,7.487546418413058e-16,1.1274367419268811e-15,8.71455377359944e-16,2.384817184044356e-15
uniform,0.5,0.0,20,600,7.487546418413058e-16,1.031082698426227e-15,7.488863730937844e-16,2.2621605428950232e-15
uniform,0.5,0.05,8,600,0.021428571428572178,0.007574301973548324,0.021466991231231615,0.03133872992104076
uniform,0.5,0.05,12,600,0.021428571428572178,0.004276501946557506,0.021026169837063166,0.024640784834034153
uniform,0.5,0.05,20,600,0.021428571428572178,0.002763160411736355,0.020669928363457334,0.02354950312923609
uniform,0.5,0.2,8,600,0.08571428571428638,0.030297207894185954,0.08586796492492514,0.12535491968414586
uniform,0.5,0.2,12,600,0.08571428571428638,0.017106007786227735,0.08410467934825239,0.09856313933613196
uniform,0.5,0.2,20,600,0.08571428571428638,0.011052641646945784,0.08267971345382893,0.09419801251694114
uniform,0.5,0.5,8,600,0.21428571428571536,0.0757430197354641,0.21466991231231342,0.31338729921035763
uniform,0.5,0.5,12,600,0.21428571428571536,0.04276501946556877,0.21026169837063066,0.2464078483403286
uniform,0.5,0.5,20,600,0.21428571428571536,0.027631604117365052,0.20669928363457277,0.23549503129235178
uniform,1.0,0.0,8,600,4.441501878493608e-16,1.30488541521177e-15,1.0820095958407355e-15,3.134401436849014e-15
uniform,1.0,0.0,12,600,4.441501878493608e-16,1.0280798157207928e-15,7.660687455484001e-16,1.4270248783731252e-15
uniform,1.0,0.0,20,600,4.441501878493608e-16,9.423005121133484e-16,6.840101179244643e-16,1.6617922955605724e-15
uniform,1.0,0.05,8,600,0.08571428571428609,0.030297207894184632,0.08586796492492543,0.12535491968414106
uniform,1.0,0.05,12,600,0.08571428571428609,0.01710600778622753,0.08410467934825194,0.09856313933613162
uniform,1.0,0.05,20,600,0.08571428571428609,0.01105264164694627,0.08267971345382841,0.09419801251694097
uniform,1.0,0.2,8,600,0.34285714285714364,0.1211888315767394,0.34347185969970184,0.5014196787365617
uniform,1.0,0.2,12,600,0.34285714285714364,0.0684240311449088,0.33641871739300777,0.39425255734452475
uniform,1.0,0.2,20,600,0.34285714285714364,0.044210566587784536,0.3307188538153159,0.376792050067761
uniform,1.0,0.5,8,600,0.8571428571428583,0.30297207894184797,0.8586796492492543,1.2535491968414034
uniform,1.0,0.5,12,600,0.8571428571428583,0.17106007786227162,0.8410467934825195,0.98563139336131
uniform,1.0,0.5,20,600,0.8571428571428583,0.1105264164694611,0.8267971345382905,0.9419801251694017
