relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.2,0.2,0.95,0.05,0.0021825396825396826,0.10909090909090909,0.2167028985507246,28
0.2,0.2,0.95,0.1,0.014642857142857143,0.07588075880758807,0.11006433558363626,43
0.2,0.2,0.95,0.2,0.04234126984126984,0.16869728209934395,0.20366928269355888,49
0.2,0.2,0.95,0.3,0.0648015873015873,0.31475811390079605,0.3535986770398767,50
0.2,0.2,0.95,0.5,0.09059523809523809,0.46386333771353483,0.4971592314421018,50
0.2,0.3,0.8,0.05,0.003412698412698413,0.08139534883720931,0.15587803500846975,34
0.2,0.3,0.8,0.1,0.02246031746031746,0.061837455830388695,0.08534719767487531,49
0.2,0.3,0.8,0.2,0.0680952380952381,0.1684149184149184,0.1977890410112186,50
0.2,0.3,0.8,0.3,0.10492063492063491,0.31391830559757944,0.3439467237957516,50
0.2,0.3,0.8,0.5,0.1473015873015873,0.4598599137931034,0.4830215964552361,50
0.2,0.3,0.9,0.05,0.0031746031746031746,0.0875,0.16666666666666666,31
0.2,0.3,0.9,0.1,0.020992063492063492,0.062381852551984876,0.08794683793935626,49
0.2,0.3,0.9,0.2,0.06488095238095239,0.1712538226299694,0.2010218870560697,50
0.2,0.3,0.9,0.3,0.1003968253968254,0.3217391304347826,0.35615532404792444,50
0.2,0.3,0.9,0.5,0.14075396825396824,0.46715534254299407,0.492007250755287,50
0.2,0.3,0.95,0.05,0.0031746031746031746,0.0875,0.16666666666666666,31
0.2,0.3,0.95,0.1,0.02035714285714286,0.06432748538011696,0.08999037651870563,49
0.2,0.3,0.95,0.2,0.06349206349206349,0.17375,0.20430313517076587,50
0.2,0.3,0.95,0.3,0.09821428571428571,0.32606060606060605,0.35749033666755187,50
0.2,0.3,0.95,0.5,0.13746031746031745,0.47084295612009236,0.49566339346137334,50
0.2,0.5,0.8,0.05,0.003849206349206349,0.08247422680412371,0.15002688172043008,37
0.2,0.5,0.8,0.1,0.026904761904761904,0.08112094395280237,0.1033501233383421,50
0.2,0.5,0.8,0.2,0.08912698412698412,0.20169189670525378,0.22451731875640926,50
0.2,0.5,0.8,0.3,0.14452380952380953,0.3629873695771554,0.3909534379356895,50
0.2,0.5,0.8,0.5,0.20833333333333334,0.512,0.5325844506530948,50
0.2,0.5,0.9,0.05,0.003611111111111111,0.08791208791208792,0.15555555555555556,34
0.2,0.5,0.9,0.1,0.024642857142857143,0.08373590982286634,0.11049869148008142,50
0.2,0.5,0.9,0.2,0.08297619047619048,0.20851267336202775,0.233403853688893,50
0.2,0.5,0.9,0.3,0.13503968253968254,0.3790772847487511,0.4094674750199967,50
0.2,0.5,0.9,0.5,0.19488095238095238,0.5273874974546936,0.549444416588446,50
0.2,0.5,0.95,0.05,0.0035714285714285713,0.07777777777777778,0.1485148514851485,34
0.2,0.5,0.95,0.1,0.02349206349206349,0.08277027027027027,0.11001118210862619,50
0.2,0.5,0.95,0.2,0.07984126984126984,0.21222664015904572,0.2389356172760041,50
0.2,0.5,0.95,0.3,0.12936507936507938,0.3852760736196319,0.4156128442490939,50
0.2,0.5,0.95,0.5,0.18619047619047618,0.5323955669224212,0.5553640303358612,50
0.3,0.1,0.8,0.1,0.005753968253968254,0.08275862068965517,0.14916666666666661,30
0.3,0.1,0.8,0.2,0.015833333333333335,0.13784461152882205,0.189808182236599,40
0.3,0.1,0.8,0.3,0.023333333333333334,0.272108843537415,0.3333586241780475,45
0.3,0.1,0.8,0.5,0.03301587301587302,0.4362980769230769,0.49174225908035163,46
0.3,0.1,0.9,0.1,0.005634920634920635,0.08450704225352113,0.15331274564851205,30
0.3,0.1,0.9,0.2,0.015119047619047619,0.14173228346456693,0.19304377766085853,40
0.3,0.1,0.9,0.3,0.0225,0.2786596119929453,0.3389696340077596,45
0.3,0.1,0.9,0.5,0.032103174603174606,0.4437577255871446,0.5040343704232227,46
0.3,0.1,0.95,0.1,0.005595238095238095,0.0851063829787234,0.16,30
0.3,0.1,0.95,0.2,0.01496031746031746,0.14058355437665782,0.19257966325379425,40
0.3,0.1,0.95,0.3,0.0223015873015873,0.2793594306049822,0.34019884668920264,45
0.3,0.1,0.95,0.5,0.031746031746031744,0.44375,0.5030549407495525,46
0.3,0.2,0.8,0.05,0.002261904761904762,0.10526315789473684,0.21052631578947367,29
0.3,0.2,0.8,0.1,0.015595238095238096,0.0737913486005089,0.10684811671704252,44
0.3,0.2,0.8,0.2,0.04488095238095238,0.16268788682581786,0.19514939309056956,49
0.3,0.2,0.8,0.3,0.06849206349206349,0.30359212050984935,0.3384898322700637,50
0.3,0.2,0.8,0.5,0.09579365079365079,0.4531897265948633,0.48737340316789274,50
0.3,0.2,0.9,0.05,0.0021825396825396826,0.10909090909090909,0.22415552427867697,28
0.3,0.2,0.9,0.1,0.01503968253968254,0.07387862796833773,0.10850553547477779,43
0.3,0.2,0.9,0.2,0.04321428571428571,0.16620752984389348,0.19964166268514094,49
0.3,0.2,0.9,0.3,0.06619047619047619,0.30995203836930457,0.34603514509875244,50
0.3,0.2,0.9,0.5,0.09246031746031746,0.45793991416309016,0.49415021410816884,50
0.3,0.2,0.95,0.05,0.0021825396825396826,0.10909090909090909,0.225,28
0.3,0.2,0.95,0.1,0.014642857142857143,0.07588075880758807,0.11191565390727624,43
0.3,0.2,0.95,0.2,0.04234126984126984,0.16869728209934395,0.205368816823393,49
0.3,0.2,0.95,0.3,0.0648015873015873,0.31475811390079605,0.35380941636582425,50
0.3,0.2,0.95,0.5,0.09059523809523809,0.46386333771353483,0.5002338865360666,50
0.3,0.3,0.8,0.05,0.003412698412698413,0.08139534883720931,0.1526075619295958,34
0.3,0.3,0.8,0.1,0.02246031746031746,0.061837455830388695,0.08440645921150508,49
0.3,0.3,0.8,0.2,0.0680952380952381,0.1684149184149184,0.19868346247125895,50
0.3,0.3,0.8,0.3,0.10492063492063491,0.31391830559757944,0.3444800258826719,50
0.3,0.3,0.8,0.5,0.1473015873015873,0.4598599137931034,0.482647830156659,50
0.3,0.3,0.9,0.05,0.0031746031746031746,0.0875,0.16666666666666666,31
0.3,0.3,0.9,0.1,0.020992063492063492,0.062381852551984876,0.08818601514679945,49
0.3,0.3,0.9,0.2,0.06488095238095239,0.1712538226299694,0.20012451905737916,50
